headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
NY株、続伸（時事通信）,https://news.yahoo.co.jp/articles/ad0abe8a0308dd9fb67b4afc12a9bd0f499435fd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-14T23:55:31+09:00,2025-01-14T23:58:22+09:00,時事通信,jij,時事通信,164,"【ニューヨーク時事】14日のニューヨーク株式相場は、米卸売物価指数が市場予想を下回ったことで買い安心感が広がり、続伸して始まった。

　優良株で構成するダウ工業株30種平均は午前9時35分現在、前日終値比158．07ドル高の4万2455．19ドル。ハイテク株中心のナスダック総合指数は136．09ポイント高の1万9224．19。",[],[]
「ばりばり仕事」「付き合いない」　近隣住民、自宅はひっそり　今村容疑者（時事通信）,https://news.yahoo.co.jp/articles/6f61f7451ecfd1875f06cf7d9cf2dc1f34961862,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-00000120-jij-000-13-view.jpg?exp=10800,2025-01-14T23:40:31+09:00,2025-01-15T00:10:45+09:00,時事通信,jij,時事通信,405,"逮捕された三菱ＵＦＪ銀行元行員の今村由香理容疑者＝１４日夜、東京都練馬区
三菱UFJ銀行の貸金庫から顧客の金塊を盗んだとして14日に逮捕された元行員今村由香理容疑者（46）について、近隣住民からは「ばりばり仕事をしている雰囲気」「近所付き合いは全くない」などの声が聞かれた。
【写真】逮捕された三菱UFJ銀行元行員の今村由香理容疑者
東京都練馬区の住宅街にある今村容疑者の自宅はひっそりとした様子で、電気が消え、人の出入りもなかった。

　近所の男性によると、今村容疑者は夫と共働きで、義理の父と3人で暮らしていた。男性は同容疑者について「年に何度か見かけるくらい。威圧的な雰囲気だった」と話した。

　別の60代女性は「近所付き合いは全くなかった。他の人とも付き合ってる様子はない」と話した。約20年前から近所に住む40代男性も「（家は）静かなイメージ。気軽にあいさつなどをしづらい印象だった」と振り返った。",[],[]
NY円、157円台後半（時事通信）,https://news.yahoo.co.jp/articles/f4f311f5e4d7022b88ec0b0f76405d18698d734c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-14T23:36:29+09:00,2025-01-14T23:41:23+09:00,時事通信,jij,時事通信,151,"【ニューヨーク時事】14日午前のニューヨーク外国為替市場では、円相場は1ドル＝157円台後半で弱含みに推移している。

　米物価圧力の鈍化を示す経済指標を受けて米長期金利が低下し、円買い・ドル売りの流れが一時強まる場面があった。午前9時現在は157円70～80銭と、前日午後5時比27銭の円安・ドル高。",[],[]
〔NY外為〕円、157円台後半（14日朝）（時事通信）,https://news.yahoo.co.jp/articles/bdbb926673bb8dffe53d520729ee704ffb62940e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-14T23:30:16+09:00,2025-01-14T23:35:15+09:00,時事通信,jij,時事通信,587,"【ニューヨーク時事】14日午前のニューヨーク外国為替市場では、円相場は1ドル＝157円台後半で弱含みに推移している。米物価圧力の鈍化を示す経済指標を受けて米長期金利が低下し、円買い・ドル売りの流れが一時強まる場面があった。午前9時現在は157円70～80銭と、前日午後5時（157円43～53銭）比27銭の円安・ドル高。
　米労働省が14日発表した12月の卸売物価指数（PPI）は前月比0．2％上昇と、市場予想（ロイター通信調べ）の0．3％上昇を下回った。エネルギーと食料品を除いたコア指数も前月比横ばいと、予想（0．3％上昇＝同）を下回った。これを受けて、インフレ緩和期待から米長期金利が低下。これに伴い、いったん円買い・ドル売りが強まり、円は下げ幅を圧縮した。
　ただ、トランプ次期米大統領の就任を20日に控え、同氏が掲げる関税政策などがインフレ再燃を招くとの警戒感も根強く、円をさらに買い上げる勢いには乏しかった。この日予定される複数の米連邦準備制度理事会（FRB）幹部の講演内容のほか、翌15日に発表される米消費者物価指数（CPI）を見極めたいとの見方も広がっている。
　ユーロは同時刻現在、対ドルで1ユーロ＝1．0250～0260ドル（前日午後5時は1．0240～0250ドル）、対円では同161円70～80銭（同161円25～35銭）と、45銭の円安・ユーロ高。",[],[]
メドベージェフ、ラケットで小型カメラ破壊　全豪テニス（時事通信）,https://news.yahoo.co.jp/articles/468b28ce156cc446e17a4ccd02e3d60181be1764,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-00000118-jij-000-4-view.jpg?exp=10800,2025-01-14T23:04:57+09:00,2025-01-14T23:50:12+09:00,時事通信,jij,時事通信,332,"男子シングルス１回戦で、いら立ち、ラケットでネットをたたくメドベージェフ＝１４日、メルボルン（ＥＰＡ時事）
男子シングルス1回戦で、昨年準優勝のメドベージェフがいらいらを募らせてラケットでネットを力任せに何度もたたき、備え付けの小型カメラを破壊するハプニングがあった。

　
　セットカウント1―1で迎えた第3セットの終盤、相手のタイ選手の打球がネットに当たり、急減速してコートに入ってきたため調子を狂わされ、何とか拾ったもののポイントを失った。この後ネットに当たり散らし、審判から警告を受けた。

　このセットは落としたが、第4、第5セットを連取して初戦突破。試合後の記者会見では「ラケットは衝撃に耐えられなかったが、カメラはとても頑丈で驚いた」と平然と語った。",[],[]
目黒蓮、劇場版「トリリオンゲーム」でも「ハルに勇気もらった」　佐野勇斗との“バディ感”をアピール（時事通信）,https://news.yahoo.co.jp/articles/99ec01783a177fca99995523269c254474dd7024,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-00000117-jij-000-5-view.jpg?exp=10800,2025-01-14T22:49:35+09:00,2025-01-14T23:45:00+09:00,時事通信,jij,時事通信,572,"劇場版「トリリオンゲーム」の完成披露舞台あいさつに出席した目黒蓮＝１４日、東京
Ｓｎｏｗ Ｍａｎの目黒蓮が１４日、東京都内で行われた劇場版「トリリオンゲーム」（２月１４日公開）の完成披露舞台あいさつに佐野勇斗らキャストと共に登場した。

　人気漫画を原作として制作され、２０２３年７月期に放送された連続ドラマの劇場版。人たらしで“世界を覆すハッタリ男”の天王寺陽（通称・ハル、目黒）と、気弱で心優しい“すご腕エンジニア”の平学（同・ガク、佐野）が、日本初のカジノリゾート開発に挑むオリジナルストーリーが展開していく。

　ドラマ版の撮影に続き、劇場版でも「ハルにしか考えられないアイデアや、ワクワクさせてくれるキャラクターに勇気をもらいながら演じることができた」と目黒。「あしたを生きる活力や、『夢に大きさなんか関係ない』といった勇気が、皆さんに少しでも届けばいいな」と観客にメッセージを送った。

　一方、佐野は「ドラマに引き続き、映画もハル君にかき回される」と話し、「ドラマよりアドリブが多かったですよね」と振り返った。これに目黒は「本当に迷惑だったよ」と笑いつつ、「佐野君とだからできた“バディ感”みたいなものが（作品に）詰まっていると思う」と手応えを口にしていた。

　舞台あいさつには今田美桜、福本莉子、鈴木浩介、原嘉孝らも出席した。",[],[]
宝塚歌劇団、株式会社に　団員との契約も見直し　阪急阪神HD（時事通信）,https://news.yahoo.co.jp/articles/282e9b6c83480434f95d4bdaff4a0bf7ea7f2b3e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-14T22:37:01+09:00,2025-01-14T22:40:30+09:00,時事通信,jij,時事通信,229,"阪急阪神ホールディングス（HD）は14日、傘下の阪急電鉄が運営する宝塚歌劇団（兵庫県宝塚市）を7月をめどに株式会社化すると発表した。

　同HDは2023年に同歌劇団の女性劇団員が死亡した問題で経営体制の在り方を問われており、ガバナンス（企業統治）強化が必要と判断した。これに伴い、団員との契約も見直す。

　社名は「株式会社宝塚歌劇団」で、阪急電鉄が100％出資。公演の企画や制作などに関する業務を移す。取締役の過半数は社外出身とし、経営の透明性を高める。",[],[]
〔NY外為〕円、157円台後半（14日午前8時）（時事通信）,https://news.yahoo.co.jp/articles/ebe5230d387fdef165301de940918570c529e652,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-14T22:30:12+09:00,2025-01-14T22:34:05+09:00,時事通信,jij,時事通信,177,"【ニューヨーク時事】14日のニューヨーク外国為替市場の円相場は、午前8時現在1ドル＝157円80～90銭と、前日午後5時（157円43～53銭）比37銭の円安・ドル高で推移している。
　ユーロは同時刻現在、対ドルで1ユーロ＝1．0243～0253ドル（前日午後5時は1．0240～0250ドル）、対円では同161円72～82銭（同161円25～35銭）。",[],[]
ロシア外相、日本の「対話再開」姿勢に苦言　文化フェスは評価（時事通信）,https://news.yahoo.co.jp/articles/ad598ec08cf36b25e110c8670fd59c7be61ebfd9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-00000115-jij-000-12-view.jpg?exp=10800,2025-01-14T22:02:27+09:00,2025-01-14T23:45:14+09:00,時事通信,jij,時事通信,356,"１４日、モスクワで年頭記者会見を行うロシアのラブロフ外相（ＡＦＰ時事）
ロシアのラブロフ外相は14日、モスクワの外務省で年頭記者会見を行い、ウクライナ侵攻が続く中での対日関係に触れた。
【写真特集】ロシアで初のコスプレ大会
日本側から「平和条約に関する対話を再開する準備ができている。（元島民らに北方領土を）再び訪問させてほしい」というシグナルを受け取っていると指摘。ただ、対ロ制裁を続ける中での働き掛けには一貫性がないと苦言を呈した。

　一方、関係が冷え込む現状で「うれしい例外」もあると述べ、日本で毎年開かれているロシア文化フェスティバルに言及。西側諸国でロシア文化が否定されていることを念頭に「すべての国が（日本のような）勇気を持っているわけではない」「（開催は）日本国民の利益になると思う」と評価した。",[],[]
米オスプレイ1機が着陸　民間機に遅れ　鹿児島・沖永良部（時事通信）,https://news.yahoo.co.jp/articles/891a48808094359e42fd5dc73afdfcb43a63c88a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-14T21:35:23+09:00,2025-01-14T21:58:28+09:00,時事通信,jij,時事通信,209,"14日午後3時50分ごろ、鹿児島県和泊町の沖永良部空港に、米軍の輸送機オスプレイ1機が着陸した。

　事前に空港使用の届け出はなかったという。この影響で、民間機1機の出発が約8分遅延した。けが人はいない。

　県によると、着陸約2分前に国土交通省の鹿児島空港事務所から、県の沖永良部空港管理事務所に連絡があった。防衛省九州防衛局によると、オスプレイは普天間基地所属で、飛行中に警告灯が点灯したため、予防着陸したという。",[],[]
