headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
みんなの銀行、JR九州などタッチ決済乗車で30%キャッシュバック（Impress Watch）,https://news.yahoo.co.jp/articles/f6f1e80b3ad589b1017e454e069db74380cd2d13,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000018-impress-000-1-view.jpg?exp=10800,2025-12-15T20:21:06+09:00,2025-12-15T20:21:06+09:00,Impress Watch,impress,Impress Watch,491,"写真：Impress Watch
みんなの銀行は、九州エリアの対象公共交通機関利用で30%のキャッシュバックを行なう「タッチ決済で公共交通機関に乗ろう!キャンペーン」を実施する。期間は2025年12月15日～2026年1月18日。

期間中にみんなの銀行デビットカードのタッチ決済で、九州エリアの対象公共交通機関の運賃を支払うと、運賃合計金額の30%(上限1,000円)をキャッシュバックする。対象交通機関は、JR九州、福岡市交通局(地下鉄)、西日本鉄道(電車・バス)。キャッシュバックは2026年3月下旬頃にみんなの銀行普通預金口座(Wallet)へ入金される。

みんなの銀行デビットカードは、みんなの銀行の口座開設と同時に発行されるバーチャルカードと、任意申込みのリアルカードがある。Apple PayやGoogle Payに設定することで、QUICPay+加盟店で使えるほか、クレジットカードと同様にネットショッピングにも利用可能。また、Apple Payやリアルカードでは、JCBのタッチ決済対応店舗(公共交通機関含む)で利用できる。
Impress Watch,清宮信志",[],[]
JR東日本、モバイルSuicaで「しなの鉄道のみ」定期券を購入可能に（Impress Watch）,https://news.yahoo.co.jp/articles/03fe5b160432f844adb93a439f008342a9dc28d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000017-impress-000-1-view.jpg?exp=10800,2025-12-15T17:56:41+09:00,2025-12-15T17:56:41+09:00,Impress Watch,impress,Impress Watch,410,"写真：Impress Watch
JR東日本は、しなの鉄道全線への「Suica」サービス導入に合わせ、「モバイルSuica」でしなの鉄道区間のみの定期券を2026年3月14日から発売する。これにより駅に行かずに定期券の購入が可能になる。

販売範囲は下記の通り。

・しなの鉄道線(軽井沢駅～篠ノ井駅)の各駅相互間
・北しなの線(長野駅～妙高高原駅)の各駅相互間
・しなの鉄道線～北しなの線の各駅相互間(信越本線:篠ノ井駅～長野駅を含む定期券)

JR東日本(松本駅～長野駅)～しなの鉄道線または北しなの線の連絡定期券も購入可能。ただし「他鉄道会社(JR東日本を除く)～しなの鉄道」の連絡定期券は購入できない。

対象定期券は通勤定期券、通学定期券(大学/専門、高校、中学)。オフピーク定期券は対象外。

JR東日本では、今後も他交通事業者の定期券発売サービスを拡大していくという。
Impress Watch,清宮信志",[],[]
ゆうちょPay、26年12月にサービス終了　「特色を活かせず」（Impress Watch）,https://news.yahoo.co.jp/articles/1bf91e04c8bda3570887e6847447718e41368324,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000016-impress-000-3-view.jpg?exp=10800,2025-12-15T17:49:46+09:00,2025-12-15T20:30:06+09:00,Impress Watch,impress,Impress Watch,689,"写真：Impress Watch
ゆうちょ銀行は、コード決済サービス「ゆうちょPay」を2026年12月に終了する。2019年にゆうちょPayにスタートしたゆうちょPayだが、約7年での終了することとなった。
【この記事に関する別の画像を見る】
26年12月20日をもって「ゆうちょPay」の新規登録と決済を終了。2027年以降にゆうちょPayアプリを終了し、この際に利用履歴閲覧などもできなくなる。コード表示での支払いは26年12月20日23時55分をもって新規表示を停止する。

終了の利用については、「サービス開始当初に強みと考えていた口座即時引き落とし機能など銀行が提供するサービスとしての特色を十分に活かすことができず、利用状況に鑑み終了する」としている。

「ゆうちょPayポイントプログラム」は、2026年1月以降も継続し、終了時期は改めて案内する。ゆうちょ銀行株主優待制度におけるゆうちょPayポイント受け取りは、2025年12月31日まで受け付ける。

サービス終了に伴う、退会などの必要はなく、サービス終了後に情報は削除される。終了後の残高照会などは、「ゆうちょ通帳アプリ」などで行なえる。

あわせて、「銀行Pay」のサービスも終了し、「はまPay」「YOKA!Pay」「OKI Pay」「こいPay」の各サービスも26年12月20日に終了する。

はまPayの横浜銀行は、サービス終了の理由について、「市場環境の変化や決済サービスの多様化により、銀行が提供するサービスとして特色を活かすことが難しい」と説明している。
Impress Watch,臼田勤哉",[],[]
福岡・門司港レトロ地区に新商業施設「AMAZING SPOT」（Impress Watch）,https://news.yahoo.co.jp/articles/7ed70f4721f231a8be6a345df30253df20c96511,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000015-impress-000-1-view.jpg?exp=10800,2025-12-15T17:23:26+09:00,2025-12-15T17:23:26+09:00,Impress Watch,impress,Impress Watch,607,"写真：Impress Watch
総合不動産サービスのJLLは、傘下のJLLリテールマネジメントが、福岡県北九州市で進められている(仮称)門司港レトロ地区複合施設新築工事「PORT TOWN MOJIKO」の商業施設「AMAZING SPOT」において、開業準備支援、テナント誘致サポート、運営管理業務を受託したと発表した。全9テナントの出店、26年7月24日の開業を予定している。
【この記事に関する別の画像を見る】
「門司港レトロ地区」はJR門司港駅から徒歩3分の立地の、歴史的建造物や関門海峡を望む景観を楽しめる観光地。公共施設、商業施設、宿泊施設などが集まる複合施設の開発計画があり、PORT TOWN MOJIKO新築工事は美里建設が推進している。

PORT TOWN MOJIKOはホテルと商業の複合施設。商業施設エリアはコンセプトとして「門司港の新定番」を掲げ、施設の1階と2階の2フロアで展開する。所在地は福岡県北九州市門司区門司港レトロ臨海地区。

1階には4店舗が出店。カフェを併設した福岡発のセレクト雑貨店、門司港観光グッズ販売や北九州の魅力発信を行なうショップ、食物販、カフェなど、地域の特色を活かした店舗をラインアップする。

2階には5店舗が出店。焼きカレー、ラーメン、海鮮レストランなどの飲食店が出店する。2階のテラスからは関門海峡を一望できる。
Impress Watch,加藤綾",[],[]
ローソン、チルド弁当1割値下げ　かつ丼・海苔弁（Impress Watch）,https://news.yahoo.co.jp/articles/225f490f82feb07304829ee58fbfef4bb79ed767,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000014-impress-000-1-view.jpg?exp=10800,2025-12-15T16:25:41+09:00,2025-12-15T16:25:41+09:00,Impress Watch,impress,Impress Watch,340,"写真：Impress Watch
ローソンは12月16日から、チルド弁当「ヨード卵・光のロースかつ丼」の価格を697円から599円に、「だしご飯の海苔弁当」の価格を667円から599円に値下げし、全国のローソン(ローソンストア100を除く)で販売する。
【この記事に関する別の画像を見る】
物価高の中、年末に向けての生活応援として、定番品の価格を1割以上下げして販売する。

12月9日からは、「阿波尾鶏の鶏五目おにぎり」(九州・沖縄地区、「ローソンストア100」を除く)、「手巻寿司 納豆」(「ローソンストア100」を除く)、「満腹濃厚豚ラーメン」(沖縄地区、「ナチュラルローソン」、「ローソンストア100」を除く)の3品も値下げしている。
Impress Watch,清宮信志",[],[]
auじぶん銀、円と外貨セットで金利上乗せ「円外貨セット定期」　最大5.1%（Impress Watch）,https://news.yahoo.co.jp/articles/1d26909501b11e89b2d12b5be4b005e473a2bfcf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000013-impress-000-1-view.jpg?exp=10800,2025-12-15T16:15:40+09:00,2025-12-15T16:15:40+09:00,Impress Watch,impress,Impress Watch,891,"写真：Impress Watch
auじぶん銀行は、円定期預金と外貨定期預金を組み合わせた新商品「円外貨セット定期」を提供開始した。円普通預金から円定期預金と外貨定期預金を同時に申し込むと、円定期預金の金利が優遇される仕組みで、満期まで保有すると上乗せ金利が適用される。
【この記事に関する別の画像を見る】
預け入れ金額は10万円から1万円単位で申し込み可能で、預け入れ期間は1カ月、3カ月、6カ月、1年の4種類。対象通貨は米ドル、豪ドル、ユーロ、NZドル、南アフリカランドの5通貨から選択できる。

円と外貨の預け入れ比率は「円75外貨25」、「円50外貨50」、「円25外貨75」の3タイプを用意し、外貨の比率が高いほど円定期預金の上乗せ金利が高くなる。上乗せ金利がつくことで、外貨預金の為替リスクを抑えつつ、円と外貨を同時に運用できる点も特徴としている。

提供開始を記念し、2026年2月28日までに円外貨セット定期を申し込むと、円定期預金金利を特別金利で提供する。米ドル(3カ月もの)とのセットの場合、円定期預金の通常金利である年0.3%(税引き前)に最大年4.7%(税引き前)を上乗せし、最大年5%(税引き前)となる。

豪ドル(3カ月もの)とのセットでは、合計最大年5.1%(税引き前)を提供する。なお、金利は現時点のもので、金融情勢の変化などにより期間中でも予告なく変更または中止される場合がある。

受け取り利息額の計算例として、米ドル(3カ月もの)で円25外貨75を選択し、100万円を預け入れた場合、円定期預金は年5%(税引き前)の金利が適用され、税引き後利息は2,511円。米ドル定期預金は年4.4%(税引き前)の金利が適用され、税引き後利息は44.15米ドルとなる。

同社は外貨預金の新機能として、国内外貨建て送金サービスの提供も予定している。外貨普通預金口座から国内金融機関にある本人名義の口座や、国内に本店を置く生命保険会社・証券会社名義の口座へ、同一通貨建てで送金できるサービスで、25年度中の開始を見込む。
Impress Watch,浅井 淳志",[],[]
イトーキ、未就学児から大人になるまで使える学習家具（Impress Watch）,https://news.yahoo.co.jp/articles/108c179a15efbe9db3301cf05e5bd49f0a95dd65,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000012-impress-000-1-view.jpg?exp=10800,2025-12-15T15:30:31+09:00,2025-12-15T15:30:31+09:00,Impress Watch,impress,Impress Watch,1161,"写真：Impress Watch
イトーキは、未就学児から大人になるまで使える学習家具シリーズ「Cretta(クレッタ)」を発売する。12月15日に予約を開始し、12月下旬より順次入荷する。価格は14,300円～99,000円。
【この記事に関する別の画像を見る】
デスク・収納・天板カラーを自由に組み合わせ、成長段階やライフスタイルに応じて使い方を変えられる学習家具シリーズ。未就学児期のキッズスペース作りから、学生・大人の学習・仕事環境まで、長く寄り添い続けることを目指して開発された。

ラインナップと価格は、幅100cmのデスク天板が49,900円～69,900円、幅100cmのデスク専用上棚が25,900円、120cmのデスク天板が52,900円～72,900円、ブックスタンドが13,900円、引き出し型ワゴンが32,900円、スリムオープンワゴンが22,900円、デスク追加引き出しが11,000円、木製チェアが29,900円、ランドセルラックにもなるキッズデスクが39,900円。

使い方に合わせて必要なアイテムだけを選べ、シリーズで統一することで空間全体にまとまりが生まれる点も特徴。未就学児向けのキッズデスクは、成長後には形を変えて収納ラックとして使い続けられる。

デスクには手提げ袋や帽子、ランドセルなどを掛けられるフックを2個付属。電源タップやルーターをまとめられる配線トレイを標準装備するほか、モニターアームも装着でき、学生・大人の多様な使い方にも対応する。

天板は、天然素材を活かした4色の天板を用意。天然木ナラ突板のナチュラルと、亜麻仁油を主成分とした環境配慮素材「リノリウム」の3色、計4色から選べる。ナラ材は耐久性が高く傷がつきにくい特性を持ちながら、繊細で美しい木目が部屋になじむという。リノリウム天板は抗菌性・耐久性を備え、しっとりとした手触りが特徴。

開発背景として、近年、子どもの学びは「子ども部屋」から「家全体」へ広がり、タブレット学習やリビング学習など、家庭内での学び方が多様化していることを挙げている。住宅では北欧・モダン系のインテリアが主流となり、空間に馴染むシンプル家具が選ばれるようになっている。

しかし、未就学児向けの家具は“期間限定で役目を終える”ケースが多く、「せっかく買ってもすぐ使えなくなる」という課題が親世代の悩みになっているという。こうした社会背景をふまえ、成長しても買い替えずに使い続けられる家具という新しい価値を提案する。

商品は、イトーキのショールーム「ZA SALON TOKYO(坐サロン 東京)」で12月19日から26年3月頃まで展示予定。毎週金曜日の13時～17時は予約不要で見学可能。
Impress Watch,西村 夢音",[],[]
宮城「ご当地」Suicaは生活サービスDXを推進 27年春開始（Impress Watch）,https://news.yahoo.co.jp/articles/e794a526061f909d376ae00b2a07b99e56f75fd5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000011-impress-000-1-view.jpg?exp=10800,2025-12-15T15:08:41+09:00,2025-12-15T15:08:41+09:00,Impress Watch,impress,Impress Watch,734,"写真：Impress Watch
宮城県とJR東日本は連携協定を締結し、2027年春に宮城県内でサービス開始予定の「ご当地Suica」の具体案を明らかにした。
【この記事に関する別の画像を見る】
「ご当地Suica」は、マイナンバーカードとモバイルSuicaを連携させて、Suicaを地方の生活サービスに活用できるようにするサービス。JR東日本は、27年春から宮城県と群馬県でご当地Suicaを先行スタートする計画を明らかにしている。

宮城県とJR東日本は、地方創生の推進や地域課題の解決について12月12日に連携協定を締結、相互に連携・協力する体制を強化する。

宮城県のご当地Suicaでは、みやぎ県民公式アプリ「ポケットサイン」のサービスが「モバイルSuica」上からWeb版として利用できるようになる計画。

公共交通では、ご当地Suicaでタッチして乗車すると福祉割引価格が自動精算されるといった利便性を提供。県内の各市町村で提供中の福祉割引施策のDXを進める。リアルタイム経路検索では、遅れ情報を加味した検索が可能になる。

また、ご当地Suicaの利用データは地域の公共交通の政策立案にも活用される。

ご当地Suicaを窓口として、首都圏などとの相互移動を喚起する取り組みも実施する。これは、「休日は地方の第二居住地で過ごし、地域活動に参加する」といったパターンを例として、居住地以外の人が地方・地域の特典を受けられる、総務省が推進する「ふるさと住民登録制度」を活用して、“関係人口”の創出を図るもの。休日は地方を訪れ旅館に宿泊し観光するといったパターンも含め、ご当地Suicaを窓口として魅力を発信していく。
Impress Watch,太田 亮三",[],[]
PayPayほけん、月額400円からの「スマホ保険」　中古スマホも対象（Impress Watch）,https://news.yahoo.co.jp/articles/c0f6c17743720cef43eed5b25eb5b19366fc267f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000010-impress-000-1-view.jpg?exp=10800,2025-12-15T14:56:01+09:00,2025-12-15T14:56:01+09:00,Impress Watch,impress,Impress Watch,839,"写真：Impress Watch
PayPay保険サービスとPayPayは、スマートフォンの補償保険「スマホ保険」の提供を開始した。キャッシュレス決済サービス「PayPay」内の「PayPayほけん」ミニアプリから加入できる。料金は月額400円から。
【この記事に関する別の画像を見る】
スマートフォンの破損、水濡れ、故障、盗難に対する修理費用などを補償し、新品のみでなく中古スマートフォンも対象。通信キャリアや購入日、購入方法を問わず加入できる。

これまでスマートフォンの補償の多くは、新規購入時にメーカーや通信キャリアが用意する補償か、購入後1年以内に特定の保険に加入するのが一般的だった。一方で、スマートフォンの購入手段は通信キャリアだけでなく、ECサイトや中古販売など多様化し、補償に加入できないユーザーも少なくない。

スマホ保険では、スマートフォンの購入日や購入方法、通信キャリアにかかわらず、ユーザーが任意のタイミングで加入が可能。店頭等で購入した新品のスマートフォンだけでなく、新品購入後の付帯補償期間が終了したスマートフォン、キャリア変更により付帯補償が終了するスマートフォン、ECサイト等で購入した中古のスマートフォンも補償対象になる。

プランは下記の3種類。自己負担額はプランにかかわらず5,500円となる。

・お手軽プラン(月額400円)：破損、水濡れによる修理費用を補償(故障・盗難は対象外)。破損による修理費用は年間補償上限10万円、水濡れは年間補償上限は1万円
・基本プラン(月額600円)：故障(年間補償上限5万円)も補償対象に含まれ、水濡れの年間補償上限は10万円
・安心プラン(月額900円)：故障に加え、盗難もカバー。故障・盗難の年間補償上限は10万円、水濡れの年間補償上限は20万円

スマホ保険では、ソフトバンク子会社のリードインクスがデジタル保険プラットフォームでの開発支援を行なっている。
Impress Watch,清宮信志",[],[]
東京アプリ、マイナカード本人確認の都民参加型の検証開始　ポイント施策準備（Impress Watch）,https://news.yahoo.co.jp/articles/dafcd464b44bd5d3756e4811760a62d84679b4bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251215-00000009-impress-000-1-view.jpg?exp=10800,2025-12-15T14:10:15+09:00,2025-12-15T14:10:15+09:00,Impress Watch,impress,Impress Watch,854,"写真：Impress Watch
東京都は、「東京都公式アプリ(東京アプリ)」において、本人確認機能などの技術面・運用面の検証を行なう都民参加型の最終検証を12月15日から開始した。参加のためにはマイナンバーカードと対応のスマートフォン、デジタル認証アプリなどが必要となる。
【この記事に関する別の画像を見る】
検証は、東京アプリの新規登録からマイナンバーカードを利用した本人確認、ポイント付与までの一連の動作の確認や、アクセス集中時間等のデータ収集などを行なうもの。東京都では今後、東京アプリでの本人確認済みユーザーに対して、11,000円相当のポイントを付与する施策を実施予定だが、それに先駆けた技術検証となる。

開催期間は12月15日13時から12月26日18時。検証への協力者には東京ポイント(500pt)を進呈する。

対応のスマートフォンは、iPhoneはiOS 16以降、AndroidはAndroid 11以降。マイナンバーカードと暗証番号、デジタル庁による「デジタル認証アプリ」が必要となる。

東京アプリとデジタル認証アプリともに最新版への更新が必要。また、デジタル認証アプリは、事前にマイナンバーカードとの連携を済ませておく必要がある、

マイナンバーカードによる本人確認の詳細は東京都のページで案内している。必要なものを用意したあと、東京アプリを起動し、「マイナンバーカードによる本人確認」を選択。画面に従って操作すると、デジタル認証アプリが立ち上がるため、ここでマイナンバーカードをかざし、マイナンバーカードの暗証番号を入力すると本人確認が終了する。

その後、東京アプリに[東京ポイントを申し込む]が表示され、申込み手続きを行なうと、後日検証参加の東京ポイント(500pt)が進呈される。東京アプリで付与される「東京ポイント」は、au PAY残高、dポイント、楽天ペイ(楽天キャッシュ【基本型】)、Vポイント、メルカリポイントへ交換できる。
Impress Watch,臼田勤哉",[],[]
